Ticker:,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
EML,2011-12-15,2020-07-10,2087.301,1658.417
EMN,2005-07-15,2020-07-10,623410.412,252846.003
EMR,2005-07-15,2020-07-10,1536820.432,637252.05
ENDP,2005-07-15,2020-07-10,691255.901,331545.088
ENG,2007-12-18,2020-07-10,3649.488,23647.89
ENOB,2015-02-02,2020-07-10,2036.654,51.46
ENPH,2012-03-30,2020-07-10,290369.843,8500.496
ENR,2015-06-12,2020-07-10,277697.267,221035.95
ENS,2005-07-15,2020-07-10,119145.455,9869.327
ENSG,2007-11-09,2020-07-10,41919.302,4273.203
ENSV,2011-01-05,2020-07-10,1663.491,120.337
ENT,2011-07-14,2020-07-10,24232.925,7178.496
ENTA,2013-03-21,2020-07-10,93704.421,20798.272
ENTG,2005-07-15,2020-07-10,138369.21,80947.122
ENV,2010-07-29,2020-07-10,88808.021,12427.63
ENVA,2014-10-30,2020-07-10,45775.385,47882.628
ENZ,2005-07-15,2020-07-10,12043.972,15739.911
EOG,2005-07-15,2020-07-10,2554448.027,1829344.507
EOLS,2018-02-09,2020-07-10,90296.431,68889.2
EPAM,2012-02-08,2020-07-10,257272.243,32082.099
EPAY,2005-07-15,2020-07-10,54803.494,29574.189
EPC,2005-07-15,2020-07-10,390063.94,263177.153
EPM,2006-07-18,2020-07-10,4736.321,707.49
EPR,2005-07-15,2020-07-10,131317.181,20209.483
EPRT,2018-06-21,2020-07-10,164512.985,63638.322
EPZM,2013-05-31,2020-07-10,77504.931,81144.508
EQBK,2015-11-11,2020-07-10,12729.098,7292.293
EQC,2010-07-02,2020-07-10,161869.31,85604.776
EQH,2018-05-10,2020-07-10,625436.046,508641.774
EQIX,2005-07-15,2020-07-10,1063689.83,99586.927
EQR,2005-07-15,2020-07-10,784935.831,258180.792
EQT,2005-07-15,2020-07-10,808005.127,198177.734
ERI,2014-09-22,2020-07-10,318721.817,4727.963
ERIE,2005-07-15,2020-07-10,37620.899,11765.111
ERII,2008-07-02,2020-07-10,22215.468,27048.243
ES,2005-07-15,2020-07-10,514054.666,85319.116
ESBK,2005-07-15,2020-07-10,331.792,155.876
ESCA,2005-07-15,2020-07-10,1080.301,703.634
ESE,2005-07-15,2020-07-10,60898.961,84528.78
ESGR,2005-07-15,2020-07-10,27419.901,2331.458
ESI,2014-01-23,2020-07-10,264219.384,148448.978
ESNT,2013-10-31,2020-07-10,185007.954,87001.555
ESP,2005-07-15,2020-07-10,580.033,255.285
ESPR,2013-06-26,2020-07-10,240717.802,13251.912
ESQ,2017-06-27,2020-07-10,3426.199,3612.702
ESRT,2013-10-02,2020-07-10,142784.937,104841.199
ESS,2005-07-15,2020-07-10,435543.164,79694.708
ESSA,2007-04-04,2020-07-10,2826.315,6573.404
ESTC,2018-10-05,2020-07-10,691897.206,430515.891
ESTE,2011-12-20,2020-07-10,6195.813,1396.193
ESXB,2006-09-05,2020-07-10,1917.044,1716.062
ETFC,2005-07-15,2020-07-10,904551.289,778359.309
ETH,2005-07-15,2020-07-10,63637.857,101129.294
ETM,2005-07-15,2020-07-10,39805.441,64286.876
ETN,2005-07-15,2020-07-10,1204860.451,289657.202
ETR,2005-07-15,2020-07-10,763464.696,437584.74
ETRN,2018-10-31,2020-07-10,403733.151,367399.316
ETSY,2015-04-16,2020-07-10,743235.986,210135.946
EV,2005-07-15,2020-07-10,222601.725,84743.321
EVBG,2016-09-16,2020-07-10,203496.249,54061.119
EVBN,2005-07-15,2020-07-10,1103.293,212.26
EVC,2005-07-15,2020-07-10,15481.916,14260.49
EVER,2018-06-28,2020-07-10,69487.485,18049.465
EVFM,2014-11-20,2020-07-10,10725.042,9579.188
EVH,2015-06-05,2020-07-10,126164.985,41706.509
EVI,2005-07-15,2020-07-10,1995.672,34.617
EVOK,2013-09-25,2020-07-10,8517.403,7351.414
EVOL,2005-07-18,2020-07-10,1205.313,917.054
EVOP,2018-05-23,2020-07-10,87748.503,87855.476
EVR,2006-08-11,2020-07-10,138688.535,20765.696
EVRG,2018-06-05,2020-07-10,944509.761,807469.899
EVRI,2005-09-23,2020-07-10,39251.513,39768.583
EVTC,2013-04-12,2020-07-10,84585.186,121468.355
EW,2005-07-15,2020-07-10,935457.326,161178.61
EWBC,2005-07-15,2020-07-10,241790.487,71332.16
EXAS,2005-07-15,2020-07-10,354911.556,5481.493
EXC,2005-07-15,2020-07-10,1630832.965,786075.624
EXEL,2005-07-15,2020-07-10,263927.519,35501.74
EXLS,2006-10-20,2020-07-10,46123.745,33532.988
EXP,2005-07-15,2020-07-10,335915.6,293254.468
EXPD,2005-07-15,2020-07-10,629717.717,426769.448
EXPE,2005-07-20,2020-07-10,1370027.174,359477.297
EXPI,2014-01-31,2020-07-10,7585.844,24.185
EXPO,2005-07-15,2020-07-10,36272.213,3795.721
EXPR,2010-05-13,2020-07-10,199784.843,66178.552
EXR,2005-07-15,2020-07-10,315157.215,16564.394
EXTN,2015-10-27,2020-07-10,31412.767,34323.286
EXTR,2005-07-15,2020-07-10,58904.419,100085.271
EYE,2017-10-26,2020-07-10,194148.429,128920.905
EYEG,2015-02-13,2020-07-10,5219.19,1008.929
EYES,2014-11-19,2020-07-10,25433.308,127133.737
EYPT,2008-06-12,2020-07-10,5601.606,291.365
EZPW,2005-07-15,2020-07-10,68499.3,33958.114
F,2005-07-15,2020-07-10,3650295.638,909806.777
FAF,2010-05-24,2020-07-10,195111.067,72946.923
FANG,2012-10-12,2020-07-10,982712.032,71071.145
FARM,2005-07-15,2020-07-10,7736.645,2443.065
FARO,2005-07-15,2020-07-10,42403.456,53041.821
FAST,2005-07-15,2020-07-10,763977.007,274439.228
FATE,2013-10-01,2020-07-10,51805.442,4261.039
FB,2012-05-18,2020-07-10,26730677.12,14760665.961
FBC,2005-07-15,2020-07-10,44546.635,47682.866
FBHS,2011-09-16,2020-07-10,546451.404,224415.235
FBIO,2011-12-19,2020-07-10,11531.953,6639.472
FBIZ,2005-10-07,2020-07-10,2212.333,359.831
FBK,2016-09-16,2020-07-10,24464.164,22495.629
FBM,2017-02-10,2020-07-10,30038.98,36173.555
FBMS,2005-07-26,2020-07-10,3805.731,212.46
FBNC,2005-07-15,2020-07-10,9485.278,2219.447
FBP,2005-07-15,2020-07-10,57021.985,74761.156
FBSS,2005-07-18,2020-07-09,329.98,293.009
FC,2005-07-15,2020-07-10,5542.304,2483.831
FCAP,2005-07-15,2020-07-10,688.352,119.912
FCBC,2005-07-15,2020-07-10,5304.559,2422.84
FCBP,2018-01-05,2020-07-10,3730.907,4356.213
FCCO,2005-07-15,2020-07-10,922.581,249.437
FCCY,2005-07-19,2020-07-10,952.031,368.677
FCEL,2005-07-15,2020-07-10,71026.673,66721.198
FCF,2005-07-15,2020-07-10,32539.187,12810.156
FCFS,2016-09-02,2020-07-10,146757.804,104907.223
FCN,2005-07-15,2020-07-10,202515.595,102842.24
FCNCA,2005-07-15,2020-07-10,39950.513,12588.797
FCPT,2015-10-29,2020-07-10,83420.533,106050.445
FCX,2005-07-15,2020-07-10,4521669.375,979132.767
FDBC,2008-01-07,2020-07-10,653.166,22.443
FDP,2005-07-15,2020-07-10,71468.823,39452.442
FDS,2005-07-15,2020-07-10,328987.973,82722.989
FDX,2005-07-15,2020-07-10,2272688.295,1317653.236
FE,2005-07-15,2020-07-10,909908.608,292825.66
FEIM,2005-07-15,2020-07-10,1111.581,1187.525
FELE,2005-07-15,2020-07-10,49001.121,22452.474
FET,2012-04-12,2020-07-10,119139.687,108827.796
FEYE,2013-09-20,2020-07-10,1054513.714,1460592.391
FF,2011-03-23,2020-07-10,7312.339,2069.69
FFBC,2005-07-15,2020-07-10,34410.973,7777.23
FFG,2005-07-15,2020-07-10,11286.683,4430.27
FFIC,2005-07-15,2020-07-10,10405.075,6262.279
FFIN,2005-07-15,2020-07-10,51301.337,5176.6
FFIV,2005-07-15,2020-07-10,1118755.006,564704.961
FFNW,2007-10-10,2020-07-10,3860.932,9655.176
FFWM,2014-11-03,2020-07-10,14436.937,1154.322
FGBI,2013-12-06,2020-07-10,947.882,1.319
FGEN,2014-11-14,2020-07-10,176758.711,90626.192
FHB,2016-08-04,2020-07-10,164058.454,138241.132
FHN,2005-07-15,2020-07-10,366668.257,199811.619
FI,2013-08-09,2020-07-10,74508.703,131803.64
FIBK,2010-03-24,2020-07-10,31996.454,14649.081
FICO,2005-07-15,2020-07-10,192565.612,223185.558
FIS,2005-07-15,2020-07-10,988402.706,210250.929
FISI,2005-07-15,2020-07-10,5365.534,1612.777
FISV,2005-07-15,2020-07-10,1008116.072,580292.797
FIT,2015-06-18,2020-07-10,791478.536,2281901.779
FITB,2005-07-15,2020-07-10,1223467.962,550591.776
FIVE,2012-07-19,2020-07-10,547439.891,161515.548
FIVN,2014-04-04,2020-07-10,158914.554,10734.96
FIX,2005-07-15,2020-07-10,42169.537,14130.237
FIXX,2018-03-28,2020-07-10,39453.564,26275.548
FIZZ,2007-06-12,2020-07-10,60079.649,5443.966
FL,2005-07-15,2020-07-10,679458.773,159497.452
FLDM,2011-02-10,2020-07-10,39852.389,13584.844
FLIC,2005-07-15,2020-07-10,5278.058,658.049
FLIR,2005-07-15,2020-07-10,322135.025,171222.973
FLL,2013-02-13,2020-07-10,1430.039,1869.098
FLMN,2017-09-08,2020-07-10,16722.906,26553.708
FLNT,2016-09-26,2020-07-10,12956.517,10780.387
FLO,2005-07-15,2020-07-10,165804.638,45596.614
FLOW,2015-09-14,2020-07-10,82878.531,105479.895
FLR,2005-07-15,2020-07-10,905547.817,486547.68
FLS,2005-07-15,2020-07-10,526305.48,140603.745
FLT,2010-12-15,2020-07-10,886595.469,58922.41
FLWS,2005-07-15,2020-07-10,20254.522,12278.747
FLXN,2014-02-12,2020-07-10,79517.07,8690.037
FLXS,2005-07-15,2020-07-10,3658.361,446.905
FMAO,2008-04-14,2020-07-10,2999.016,1796.823
FMBH,2005-07-19,2020-07-10,3237.493,342.09
FMBI,2005-07-15,2020-07-10,73939.297,42572.174
FMC,2005-07-15,2020-07-10,488078.988,132255.81
FMNB,2011-09-15,2020-07-10,3405.883,508.505
FN,2010-06-25,2020-07-10,94409.803,41126.42
FNB,2005-07-15,2020-07-10,112209.222,12362.444
FNCB,2008-01-03,2020-07-10,421.404,10.453
FND,2017-04-27,2020-07-10,397746.823,229939.42
FNF,2014-06-23,2020-07-10,430529.865,367259.568
FNHC,2012-09-12,2020-07-10,13419.212,1199.031
FNJN,2013-08-22,2020-07-10,4130.965,1044.659
FNKO,2017-11-02,2020-07-10,97609.591,39256.154
FNLC,2005-07-15,2020-07-10,1733.387,364.447
FNWB,2015-01-30,2020-07-10,3319.824,7438.108
FOCS,2018-07-26,2020-07-10,73991.404,90698.246
FOE,2005-07-15,2020-07-10,75819.043,31484.954
FOLD,2007-05-31,2020-07-10,120612.246,17332.643
FONR,2005-07-15,2020-07-10,6108.285,4997.548
FOR,2007-12-12,2020-07-10,38591.419,67685.188
FORD,2005-07-15,2020-07-10,10148.427,147769.376
FORM,2005-07-15,2020-07-10,102827.598,166398.76
FORR,2005-07-15,2020-07-10,17496.433,10206.544
FOSL,2005-07-15,2020-07-10,452047.205,110908.942
FOX,2019-03-13,2020-07-10,425952.28,478581.417
FOXA,2019-03-13,2020-07-10,1441706.572,1647912.685
FOXF,2013-08-08,2020-07-10,72415.516,31735.566
FPI,2014-04-21,2020-07-10,11945.069,5297.734
FPRX,2013-09-18,2020-07-10,76085.979,21894.813
FR,2005-07-15,2020-07-10,131019.372,58899.938
FRAF,2008-04-14,2020-07-10,1197.334,2164.962
FRAN,2011-07-22,2020-07-10,130411.508,94570.844
FRBA,2013-11-15,2020-07-10,2240.681,736.859
FRBK,2005-07-15,2020-07-10,3906.466,1086.767
FRC,2010-12-09,2020-07-10,566398.477,148321.156
FRD,2005-07-15,2020-07-10,1447.319,1800.676
FRGI,2012-04-26,2020-07-10,80676.064,16157.938
FRME,2005-07-15,2020-07-10,22607.166,6415.467
FRPH,2005-07-18,2020-07-10,3392.381,1202.061
FRPT,2014-11-07,2020-07-10,76375.052,78235.129
FRT,2005-07-15,2020-07-10,349516.199,79965.284
FRTA,2016-10-20,2020-07-10,39703.772,80095.515
FSB,2013-10-04,2020-07-10,15971.366,1.774
FSBW,2012-07-10,2020-07-10,2820.763,1917.94
FSCT,2017-10-27,2020-07-10,244692.002,123381.066
FSFG,2008-10-07,2020-07-10,836.019,637.468
FSLR,2006-11-17,2020-07-10,2413876.747,1154104.097
FSLY,2019-05-17,2020-07-10,1098080.169,289353.005
FSP,2005-07-15,2020-07-10,24752.97,4579.009
FSS,2005-07-15,2020-07-10,36104.871,28984.536
FSTR,2005-07-15,2020-07-10,18225.946,3074.181
FTDR,2018-09-13,2020-07-10,209327.303,216635.231
FTEK,2005-07-15,2020-07-10,24658.668,14810.517
FTI,2005-07-15,2020-07-10,816197.472,242738.277
FTK,2005-07-15,2020-07-10,75307.679,7434.345
FTNT,2009-11-18,2020-07-10,639930.063,104782.745
FTSI,2018-02-02,2020-07-10,51922.875,111775.611
FTV,2016-06-13,2020-07-10,1078738.933,797033.92
FUL,2005-07-15,2020-07-10,104141.322,53620.991
FULT,2005-07-15,2020-07-10,98295.73,24508.713
FUNC,2005-07-15,2020-07-10,1065.466,770.502
FUSB,2005-07-15,2020-07-10,724.559,712.769
FVE,2016-07-01,2020-07-10,2489.77,4505.287
FWONA,2016-04-18,2020-07-10,62250.734,101506.449
FWONK,2016-04-18,2020-07-10,328162.175,112597.057
FWRD,2005-07-15,2020-07-10,59993.353,67506.762
G,2007-08-02,2020-07-10,157527.468,52302.676
GABC,2005-07-15,2020-07-10,5209.331,854.772
GAIA,2005-07-15,2020-07-10,9812.104,6053.19
GALT,2012-03-23,2020-07-10,15865.961,1844.902
GATX,2005-07-15,2020-07-10,131404.86,107280.63
GBCI,2005-07-15,2020-07-10,65920.559,17254.943
GBL,2005-07-15,2020-07-10,10984.421,10364.143
GBT,2015-08-12,2020-07-10,320368.437,97523.744
GBX,2005-07-15,2020-07-10,115987.018,52957.867
GCAP,2010-12-15,2020-07-10,17458.667,6812.54
GCBC,2005-07-18,2020-07-10,397.857,118.231
GCI,2014-02-04,2020-07-10,50362.197,26344.796
GCO,2005-07-15,2020-07-10,130616.715,80124.27
GCP,2016-01-26,2020-07-10,116323.237,113130.291
GD,2005-07-15,2020-07-10,1388532.115,658209.747
GDDY,2015-04-01,2020-07-10,618320.955,191205.639
GDEN,2005-07-15,2020-07-10,11423.529,8603.532
GDOT,2010-07-22,2020-07-10,139526.319,132587.475
GDP,2016-11-28,2020-07-10,2803.644,2075.752
GE,2005-07-15,2020-07-10,8603675.459,4546740.387
GEC,2005-07-15,2020-07-10,57797.545,296606.982
GEF,2005-07-15,2020-07-10,71950.092,24687.526
GEN,2007-05-15,2020-07-10,14204.154,39640.627
GENC,2007-12-20,2020-07-10,2329.402,11602.955
GEO,2005-07-15,2020-07-10,96560.456,4798.939
GEOS,2005-07-15,2020-07-10,35877.084,9729.2
GERN,2005-07-15,2020-07-10,81069.251,101400.988
GES,2005-07-15,2020-07-10,245319.025,107404.714
GEVO,2018-06-05,2020-07-10,32385.117,77423.525
GFED,2005-07-15,2020-07-10,439.381,524.341
GFF,2005-07-15,2020-07-10,26440.312,47298.914
GFN,2008-10-01,2020-07-10,1936.033,370.67
GGG,2005-07-15,2020-07-10,166083.659,89178.76
GH,2018-10-04,2020-07-10,643191.977,522002.761
GHC,2005-07-15,2020-07-10,122783.895,97069.74
GHL,2005-07-15,2020-07-10,106826.22,51796.012
GHM,2005-07-18,2020-07-10,13685.402,4514.656
GIFI,2005-07-15,2020-07-10,14708.753,17669.645
GIII,2005-07-15,2020-07-10,105256.326,1676.61
GILD,2005-07-15,2020-07-10,4814412.288,1583556.787
GIS,2005-07-15,2020-07-10,1304619.852,463563.069
GKOS,2015-06-25,2020-07-10,186774.499,55947.819
GL,2005-07-15,2020-07-10,322210.071,199569.701
GLBZ,2005-07-18,2020-07-10,206.958,163.438
GLDD,2006-12-27,2020-07-10,21449.954,19534.112
GLIBA,2018-03-12,2020-07-10,215494.024,199511.409
GLPI,2013-10-14,2020-07-10,280712.973,236959.331
GLRE,2007-05-24,2020-07-10,27039.135,23951.472
GLT,2005-07-15,2020-07-10,30070.861,22990.76
GLUU,2007-03-22,2020-07-10,100322.948,19359.324
GLW,2005-07-15,2020-07-10,1822437.191,1720753.247
GLYC,2014-01-10,2020-07-10,36783.441,14878.805
GM,2010-11-18,2020-07-10,3546802.425,4574204.49
GME,2005-07-15,2020-07-10,588936.685,298105.688
GMED,2012-08-03,2020-07-10,178335.211,46540.435
GMO,2005-07-15,2020-07-10,12771.43,1796.459
GMRE,2014-10-16,2020-07-10,16664.289,1578.591
GMS,2016-05-26,2020-07-10,91844.854,40228.35
GNCA,2014-02-05,2020-07-10,14733.976,10067.646
GNE,2011-10-26,2020-07-10,6167.693,5467.4
GNK,2015-07-20,2020-07-10,13644.099,3279.958
GNL,2015-06-02,2020-07-10,66102.812,41169.966
GNMK,2010-05-28,2020-07-10,26974.779,1208.544
GNRC,2010-02-11,2020-07-10,238776.859,17462.603
GNTX,2005-07-15,2020-07-10,241400.873,102294.359
GNTY,2005-07-15,2020-07-10,5042.125,6515.014
GNW,2005-07-15,2020-07-10,572416.803,608536.295
GOGO,2013-06-21,2020-07-10,173838.059,442343.055
GOLF,2016-10-28,2020-07-10,53176.031,49052.187
GOOD,2005-07-15,2020-07-10,9326.456,887.862
GOOG,2014-03-27,2020-07-10,10023634.174,7535863.294
GOOGL,2005-07-18,2020-07-10,17220520.52,36071573.946
GORO,2010-08-30,2020-07-10,34451.534,51579.137
GOSS,2019-02-08,2020-07-10,67568.853,63494.25
GPC,2005-07-15,2020-07-10,406487.64,98458.429
GPI,2005-07-15,2020-07-10,144218.235,52575.261
GPK,2005-07-15,2020-07-10,206378.973,3952.083
GPMT,2017-06-26,2020-07-10,68533.935,52694.711
GPN,2005-07-15,2020-07-10,674796.51,290731.308
GPOR,2005-07-18,2020-07-10,324148.325,5413.303
GPRE,2006-03-15,2020-07-10,79257.24,4139.941
GPRO,2014-06-26,2020-07-10,1251219.588,4908560.29
GPS,2005-07-15,2020-07-10,1196087.791,602969.358
GPX,2005-07-15,2020-07-10,7796.07,3647.787
GRA,2005-07-15,2020-07-10,288817.763,82813.268
GRBK,2012-06-15,2020-07-10,13293.296,14539.314
GRC,2005-07-18,2020-07-10,11488.596,2495.26
GRIF,2005-07-15,2020-07-10,1376.325,480.634
GRMN,2005-07-15,2020-07-10,608039.747,394309.203
GROW,2005-07-15,2020-07-10,24518.744,17315.153
GRPN,2011-11-07,2020-07-10,627112.383,542458.45
GRTS,2018-09-28,2020-07-10,17993.769,24335.166
GRUB,2014-04-04,2020-07-10,1012404.252,302265.005
GS,2005-07-15,2020-07-10,8173784.329,3653065.353
GSAT,2006-11-02,2020-07-10,35960.92,58387.694
GSB,2007-07-19,2020-07-10,2101.726,3091.481
GSBC,2005-07-15,2020-07-10,6408.252,1963.369
GSHD,2018-04-27,2020-07-10,59602.06,38249.839
GSIT,2007-03-29,2020-07-10,4324.354,2306.116
GSKY,2018-05-24,2020-07-10,139935.489,244404.013
GT,2012-12-18,2020-07-10,720034.493,552355.717
GTES,2018-01-25,2020-07-10,63053.169,105220.053
GTHX,2017-05-17,2020-07-10,74905.871,22154.766
GTIM,2005-07-15,2020-07-10,1244.671,174.18
GTLS,2006-07-26,2020-07-10,168413.99,25498.099
GTN,2005-07-15,2020-07-10,59352.097,19392.419
GTS,2007-12-07,2020-07-10,22556.313,27966.183
GTT,2013-06-17,2020-07-10,65807.982,3211.071
GTX,2018-09-17,2020-07-10,108708.02,173001.864
GTY,2005-07-15,2020-07-10,19663.981,4912.804
GTYH,2016-11-18,2020-07-10,9283.064,6711.774
GV,2005-07-15,2020-07-10,5061.965,2752.176
GVA,2005-07-15,2020-07-10,140456.491,83935.38
GVP,2018-05-01,2020-07-10,489.374,554.697
GWB,2014-10-15,2020-07-10,93159.52,66392.074
GWGH,2014-09-25,2020-07-10,550.138,292.242
GWRE,2012-01-25,2020-07-10,314919.965,108598.592
GWRS,2016-04-28,2020-07-10,2028.833,2153.441
GWW,2005-07-15,2020-07-10,823963.781,212429.513
H,2009-11-05,2020-07-10,254409.168,173926.014
HA,2008-06-02,2020-07-10,159109.245,51147.081
HAE,2005-07-15,2020-07-10,163330.553,102486.931
HAFC,2005-07-15,2020-07-10,24448.594,23540.13
HAIN,2005-07-15,2020-07-10,292549.435,51084.021
HAL,2005-07-15,2020-07-10,3907048.431,3629441.592
HALL,2006-07-31,2020-07-10,4653.865,3145.441
HALO,2007-05-10,2020-07-10,113775.135,33536.446
HAS,2010-12-21,2020-07-10,711896.138,505667.425
HASI,2013-04-18,2020-07-10,53410.467,13393.465
HAYN,2007-03-20,2020-07-10,32689.481,132726.175
HBAN,2005-07-15,2020-07-10,778522.492,148485.829
HBB,2017-09-26,2020-07-10,7047.358,9313.804
HBCP,2008-10-03,2020-07-10,2984.781,3089.616
HBI,2006-08-16,2020-07-10,515629.769,140790.542
HBIO,2005-07-15,2020-07-10,4095.788,2844.918
HBMD,2012-07-25,2020-07-10,2697.245,201.919
HBNC,2005-07-15,2020-07-10,5024.877,999.887
HBP,2013-12-09,2020-07-10,2678.572,1052.893
HCA,2011-03-10,2020-07-10,1634101.324,784951.772
HCC,2017-04-13,2020-07-10,146146.496,70838.896
HCCI,2008-03-12,2020-07-10,6626.871,2238.775
HCFT,2013-03-22,2020-07-10,3412.075,3631.723
HCHC,2013-10-29,2020-07-10,8718.813,4297.276
HCI,2012-10-25,2020-07-10,32128.846,34273.038
HCKT,2008-01-02,2020-07-10,9961.06,10210.037
HCSG,2005-07-15,2020-07-10,92380.388,19333.584
HD,2005-07-15,2020-07-10,4605934.9,2287214.653
HDS,2013-06-27,2020-07-10,578856.169,312191.41
HDSN,2005-07-15,2020-07-10,7098.718,2409.345
HE,2005-07-15,2020-07-10,94505.049,30038.491
HEAR,2012-03-22,2020-07-10,48837.399,3837.414
HEES,2006-01-31,2020-07-10,37915.642,46399.272
HEI,2005-07-15,2020-07-10,118703.785,11557.499
HELE,2005-07-15,2020-07-10,103030.543,48936.495
HEPA,2015-02-27,2020-07-10,18498.519,11180.513
HES,2006-05-09,2020-07-10,1936100.778,1380156.409
HFBL,2010-12-22,2020-06-29,639.015,811.243
HFC,2005-07-15,2020-07-10,625104.002,114188.407
HFWA,2005-07-15,2020-07-10,12461.92,568.197
HGV,2016-12-14,2020-07-10,296151.04,209767.609
HHC,2010-11-05,2020-07-10,164992.978,118970.732
HHS,2005-07-15,2020-07-10,18518.756,38074.872
HI,2008-03-20,2020-07-10,63641.052,39353.019
HIBB,2005-07-15,2020-07-10,127690.948,79693.638
HIFS,2005-07-15,2020-07-10,2356.139,308.625
HIG,2005-07-15,2020-07-10,1198902.35,708165.84
HII,2011-03-22,2020-07-10,359454.205,168245.973
HIL,2006-06-29,2020-07-10,8403.759,4641.12
HIW,2005-07-15,2020-07-10,147326.602,22080.286
HL,2005-07-15,2020-07-10,290377.139,76945.596
HLF,2005-07-15,2020-07-10,670953.999,62619.393
HLI,2015-08-13,2020-07-10,82906.628,29262.466
HLIO,2005-07-15,2020-07-10,26088.917,22368.74
HLIT,2005-07-15,2020-07-10,53938.543,57251.793
HLNE,2017-03-01,2020-07-10,60784.89,37387.537
HLT,2013-12-12,2020-07-10,1699680.278,794430.767
HLX,2006-03-06,2020-07-10,237432.101,494369.241
HMHC,2013-11-14,2020-07-10,95216.641,86610.517
HMN,2005-07-15,2020-07-10,34215.612,25042.709
HMNF,2005-07-18,2020-07-10,613.501,1531.98
HMST,2012-02-13,2020-07-10,30158.747,9629.988
HMSY,2005-07-15,2020-07-10,124364.523,4866.747
HMTV,2013-04-23,2020-07-10,5046.772,5316.175
HNGR,2016-02-29,2020-07-10,26050.094,10148.973
HNI,2005-07-15,2020-07-10,54476.961,49931.17
HNRG,2010-05-21,2020-07-10,3690.002,1039.359
HOFT,2005-07-15,2020-07-10,9538.972,5071.011
HOG,2005-07-15,2020-07-10,813590.891,704926.978
HOLX,2005-07-15,2020-07-10,732103.881,252450.591
HOMB,2006-06-23,2020-07-10,59980.87,8991.958
HOME,2016-08-04,2020-07-10,165095.845,38563.318
HON,2005-07-15,2020-07-10,2282173.606,934919.857
HONE,2016-06-30,2020-07-10,14220.16,16330.72
HOPE,2005-07-15,2020-07-10,44003.099,18429.931
HOV,2005-07-15,2020-07-10,179173.074,608631.764
HP,2005-07-15,2020-07-10,580831.506,264668.797
HPE,2015-10-19,2020-07-10,1606082.054,1595723.179
HPP,2010-06-24,2020-07-10,157427.777,14407.19
HPQ,2005-07-15,2020-07-10,3578554.366,2493899.812
HPR,2018-03-20,2020-07-10,45870.357,98310.023
HQY,2014-07-31,2020-07-10,268137.071,44415.676
HR,2005-07-15,2020-07-10,129321.799,30148.787
HRB,2005-07-15,2020-07-10,511703.109,288821.416
HRC,2005-07-15,2020-07-10,195998.675,83567.462
HRI,2006-11-16,2020-07-10,660867.674,318339.643
HRL,2005-07-15,2020-07-10,416195.686,68444.697
HROW,2013-02-08,2020-07-10,5649.916,1579.62
HRTG,2014-05-23,2020-07-10,27402.828,12357.169
HRTX,2011-12-20,2020-07-10,126545.405,426.963
HSC,2005-07-15,2020-07-10,123767.88,91151.74
HSDT,2014-09-08,2020-07-10,4343.41,4191.747
HSIC,2005-07-15,2020-07-10,502655.81,167243.92
HSII,2005-07-15,2020-07-10,28968.138,35410.491
HSKA,2005-07-15,2020-07-10,15448.861,1027.821
HSON,2005-07-15,2020-07-10,9414.671,48460.498
HST,2005-07-15,2020-07-10,920200.005,199194.715
HSTM,2005-07-15,2020-07-10,19130.009,791.437
HSY,2005-07-15,2020-07-10,718171.868,356380.538
HT,2005-07-15,2020-07-10,38151.35,1842.517
HTA,2012-06-07,2020-07-10,236440.389,44395.448
HTBI,2012-07-11,2020-07-10,8997.469,15056.327
HTBK,2005-07-15,2020-07-10,7105.552,4398.965
HTBX,2013-07-24,2020-07-10,13728.121,3813.396
HTGM,2015-05-06,2020-07-10,23676.878,4604.153
HTH,2007-08-01,2020-07-10,50007.573,31286.017
HTLD,2005-07-15,2020-07-10,77366.736,47639.048
HTLF,2005-07-15,2020-07-10,14961.849,1951.702
HTZ,2016-06-20,2020-07-10,735631.498,656819.644
HUBB,2005-07-15,2020-07-10,181700.635,48870.46
HUBG,2005-07-15,2020-07-10,100067.202,66879.881
HUBS,2014-10-09,2020-07-10,389501.449,102603.309
HUM,2005-07-15,2020-07-10,1545723.389,680729.736
HUN,2005-07-15,2020-07-10,430541.268,137524.626
HURC,2005-07-15,2020-07-10,12187.794,32110.712
HURN,2005-07-15,2020-07-10,82469.877,17767.652
HUSA,2006-07-26,2020-07-10,6308.419,3804.559
HVT,2005-07-15,2020-07-10,12696.634,7914.577
HWBK,2005-07-15,2020-07-10,673.769,587.395
HWC,2005-07-15,2020-07-10,115145.526,23789.954
HWCC,2006-06-15,2020-07-10,13337.795,53453.275
HWKN,2005-07-15,2020-07-10,7009.257,639.339
HXL,2005-07-15,2020-07-10,215991.33,130473.602
HY,2012-10-01,2020-07-10,29443.62,21073.073
HZN,2015-06-23,2020-07-10,21457.389,15482.008
HZNP,2011-07-28,2020-07-10,376583.903,2676.622
HZO,2005-07-15,2020-07-10,37659.368,68482.604
IAA,2019-06-17,2020-07-10,493497.312,466818.661
IAC,2020-07-02,2020-07-10,3937654.795,3937654.795
IART,2005-07-15,2020-07-10,130182.896,64986.638
IBCP,2005-07-18,2020-07-10,10309.186,16062.376
IBIO,2011-01-04,2020-07-10,21685.441,3973.113
