Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
CMG,2009-10-27,2019-10-22,16,2006-01-26,2020-07-10,2045941.845,3005607.716
DOW,2019-05-03,2019-10-25,3,2019-03-20,2020-07-10,2043897.857,2086271.66
MRO,2009-11-06,2019-11-07,26,2005-07-15,2020-07-10,2000704.46,1950293.89
EA,2008-02-04,2008-11-06,3,2005-07-15,2020-07-10,1952895.868,3326767.688
HES,2008-05-09,2019-05-01,19,2006-05-09,2020-07-10,1936100.778,1788811.391
NOV,2008-05-09,2019-04-26,10,2005-07-15,2020-07-10,1935485.591,1018574.456
LMT,2008-04-24,2019-10-24,34,2005-07-15,2020-07-10,1904184.513,3106969.239
ATVI,2008-02-11,2019-11-07,32,2005-07-15,2020-07-10,1885795.569,3584904.096
PSX,2012-05-16,2019-10-25,24,2012-04-12,2020-07-10,1883296.9,1710713.801
DHR,2008-04-16,2019-10-23,36,2005-07-15,2020-07-10,1877311.571,1945132.046
BK,2008-05-09,2014-11-07,17,2005-07-15,2020-07-10,1876694.049,2107298.921
TJX,2008-05-23,2019-08-30,13,2005-07-15,2020-07-10,1858137.41,2797318.445
ISRG,2011-10-19,2019-10-18,3,2005-07-15,2020-07-10,1841124.941,2537822.995
MGM,2008-05-09,2017-11-09,24,2005-07-15,2020-07-10,1837999.564,2492526.439
NOW,2012-08-10,2019-10-24,22,2012-06-29,2020-07-10,1832089.05,2133399.409
TMO,2015-05-01,2019-11-01,13,2005-07-15,2020-07-10,1824816.477,2355058.744
GLW,2008-10-30,2019-05-03,21,2005-07-15,2020-07-10,1822437.191,1587609.242
NEE,2011-11-04,2019-10-23,25,2010-06-24,2020-07-10,1799193.106,2266209.465
ACN,2009-12-18,2019-12-19,31,2005-07-15,2020-07-10,1796342.932,2564913.558
MOS,2008-01-09,2019-11-05,35,2005-07-15,2020-07-10,1790262.133,1060939.756
LYB,2011-11-01,2019-11-01,24,2010-10-14,2020-07-10,1776330.294,1805964.902
CTSH,2008-11-07,2019-10-31,23,2005-07-15,2020-07-10,1743316.497,2197724.554
BBY,2008-01-10,2019-12-06,12,2005-07-15,2020-07-10,1740791.304,2034783.067
MYL,2015-05-07,2019-11-05,15,2008-12-29,2020-07-10,1732644.522,1908797.367
CI,2019-05-02,2019-05-02,1,2005-07-18,2020-07-10,1720012.126,2826490.623
BSX,2008-05-08,2013-11-05,5,2005-07-15,2020-07-10,1713184.893,2048651.617
CL,2011-10-27,2019-11-01,25,2005-07-15,2020-07-10,1708334.281,2298657.033
HLT,2014-05-09,2019-07-24,17,2013-12-12,2020-07-10,1699680.278,1950626.504
BAX,2008-05-02,2013-10-30,13,2005-07-15,2020-07-10,1695470.474,1701065.91
KR,2010-06-28,2019-12-17,22,2005-07-15,2020-07-10,1688694.113,2631396.557
PANW,2012-12-10,2016-11-21,9,2012-07-20,2020-07-10,1687510.478,1966159.274
DOCU,2018-06-08,2019-12-06,6,2018-04-27,2020-07-10,1661694.69,906502.945
AMT,2009-08-06,2019-10-31,16,2005-07-15,2020-07-10,1655579.416,2612089.549
PXD,2012-08-06,2018-11-08,20,2005-07-15,2020-07-10,1648631.117,2191583.587
LRCX,2008-03-31,2015-02-03,7,2005-07-15,2020-07-10,1640668.589,4866074.324
EXC,2008-04-24,2017-11-02,26,2005-07-15,2020-07-10,1630832.965,1914420.271
SPG,2008-05-09,2019-11-06,39,2005-07-15,2020-07-10,1629462.309,2016103.152
TTD,2016-11-10,2019-05-09,8,2016-09-21,2020-07-10,1618416.371,591184.982
HPE,2016-03-10,2019-08-30,12,2015-10-19,2020-07-10,1606082.054,1736853.544
CCL,2015-07-01,2019-09-26,15,2005-07-15,2020-07-10,1591275.018,1835287.654
LUV,2008-07-25,2019-11-08,29,2005-07-15,2020-07-10,1585131.57,2586734.136
CPRI,2013-08-08,2019-11-07,20,2011-12-15,2020-07-10,1584209.174,1269161.057
MCK,2008-02-01,2019-10-30,35,2005-07-15,2020-07-10,1577943.099,2313255.081
SYF,2014-09-05,2019-10-24,17,2014-07-31,2020-07-10,1577239.314,1827157.657
STT,2008-05-09,2019-10-25,36,2005-07-15,2020-07-10,1567762.066,1310796.03
MSI,2008-05-07,2019-10-30,38,2005-07-15,2020-07-10,1561926.266,910945.237
ICE,2013-08-07,2019-10-31,5,2005-11-16,2020-07-10,1556152.355,1689933.92
HUM,2008-04-29,2019-11-06,35,2005-07-15,2020-07-10,1545723.389,2137004.008
EMR,2012-05-02,2019-08-07,23,2005-07-15,2020-07-10,1536820.432,1895268.737
NSC,2011-04-29,2019-10-23,27,2005-07-15,2020-07-10,1533926.201,1863230.106
CME,2010-05-07,2010-05-07,1,2005-07-15,2020-07-10,1533704.842,1778913.484
PRU,2008-05-01,2019-11-05,37,2005-07-15,2020-07-10,1518681.433,1535346.961
KSS,2011-09-13,2019-12-06,24,2005-07-15,2020-07-10,1514586.49,1878012.899
CMI,2010-04-29,2019-10-29,30,2005-07-15,2020-07-10,1506875.459,1861853.332
MRVL,2008-06-06,2019-12-04,30,2005-07-15,2020-07-10,1497808.793,1605860.768
NTAP,2009-03-02,2019-02-19,25,2005-07-15,2020-07-10,1485009.013,1445260.811
ADP,2012-11-02,2019-11-04,22,2008-10-21,2020-07-10,1469318.179,2009068.134
LULU,2012-06-07,2019-12-11,23,2007-07-27,2020-07-10,1455436.848,1416138.916
TRV,2008-04-24,2019-10-22,31,2005-07-15,2020-07-10,1454270.675,1687120.414
REGN,2008-05-02,2012-10-24,5,2005-07-15,2020-07-10,1453828.607,2390761.742
SWN,2009-04-27,2019-10-24,29,2005-07-15,2020-07-10,1450276.519,928321.842
DUK,2008-05-09,2019-11-08,34,2005-07-15,2020-07-10,1445169.555,2096530.226
FOXA,2019-05-10,2019-05-10,1,2019-03-13,2020-07-10,1441706.572,1647912.685
SO,2008-05-07,2019-10-29,36,2005-07-15,2020-07-10,1390039.435,2173542.412
GD,2008-05-06,2019-10-23,35,2005-07-15,2020-07-10,1388532.115,2251173.711
EXPE,2008-05-01,2019-11-06,31,2005-07-20,2020-07-10,1370027.174,2319299.009
VMW,2008-05-09,2019-12-06,25,2007-08-14,2020-07-10,1369426.971,2015112.187
ADSK,2011-12-06,2011-12-06,1,2005-07-15,2020-07-10,1365972.928,2160687.572
CF,2008-05-06,2019-10-31,36,2005-08-11,2020-07-10,1363280.57,1049107.842
INTU,2008-02-29,2019-11-21,36,2005-07-15,2020-07-10,1358414.094,1807181.468
WMB,2008-05-01,2019-10-31,36,2005-07-15,2020-07-10,1345903.853,1438887.251
NOC,2011-10-26,2019-10-24,25,2005-07-15,2020-07-10,1341228.725,2298337.777
TMUS,2008-05-09,2019-10-28,36,2007-04-19,2020-07-10,1338342.165,2462167.747
AZO,2008-06-12,2019-12-20,23,2005-07-15,2020-07-10,1337150.597,2091206.58
CTVA,2019-05-31,2019-05-31,1,2019-05-24,2020-07-10,1322236.283,1448705.695
GIS,2008-03-19,2018-12-19,30,2005-07-15,2020-07-10,1304619.852,2005517.483
KMB,2010-05-07,2019-10-22,31,2005-07-15,2020-07-10,1304117.418,2003960.569
CFG,2014-11-14,2019-11-06,17,2014-09-24,2020-07-10,1297917.671,1631920.112
VRTX,2008-05-12,2019-10-31,36,2005-07-15,2020-07-10,1287709.042,2068862.017
ILMN,2008-04-28,2019-10-24,33,2005-07-15,2020-07-10,1285381.281,1425213.057
STX,2010-02-01,2019-02-04,14,2008-09-16,2020-07-10,1280684.312,1684227.723
CLF,2008-07-31,2019-10-23,30,2005-07-18,2020-07-10,1279142.187,786343.828
ALL,2008-11-05,2019-10-29,33,2005-07-15,2020-07-10,1271435.812,1587218.962
PRGO,2013-11-04,2019-11-06,20,2013-06-06,2020-07-10,1267377.096,786209.51
SIRI,2008-08-11,2014-10-28,16,2005-07-15,2020-07-10,1266453.975,1030499.124
CTXS,2009-11-04,2019-11-01,26,2005-07-15,2020-07-10,1264113.163,1209687.889
BLK,2009-08-07,2018-11-09,27,2005-07-15,2020-07-10,1263832.395,1905080.192
ADM,2013-08-07,2019-10-31,17,2005-07-15,2020-07-10,1261408.317,1270181.156
TPR,2015-11-04,2019-11-07,13,2005-07-15,2020-07-10,1258405.946,1146295.049
RF,2012-05-03,2019-11-06,22,2005-07-15,2020-07-10,1257007.043,1706804.495
GPRO,2014-08-11,2019-11-07,17,2014-06-26,2020-07-10,1251219.588,322356.014
ITW,2012-10-26,2019-10-28,22,2005-07-15,2020-07-10,1250602.28,1645483.859
AKAM,2008-05-12,2019-11-08,36,2005-07-15,2020-07-10,1250345.539,1083500.855
DLTR,2013-05-23,2019-11-26,21,2005-07-15,2020-07-10,1249439.128,2189202.935
NUE,2010-11-10,2019-11-06,26,2005-07-15,2020-07-10,1241103.12,1307250.559
CB,2009-08-07,2015-04-29,12,2005-07-15,2020-07-10,1239262.844,1767993.279
DXC,2017-08-09,2019-11-12,8,2017-03-16,2020-07-10,1233509.639,1334077.134
LEN,2009-07-10,2019-10-08,25,2005-07-15,2020-07-10,1232195.193,2157446.078
OKTA,2017-06-08,2019-12-05,9,2017-04-07,2020-07-10,1232095.741,545536.006
FITB,2008-05-09,2019-11-08,36,2005-07-15,2020-07-10,1223467.962,1412728.066
BDX,2009-05-06,2019-08-06,30,2005-07-15,2020-07-10,1222172.889,2192568.343
D,2008-05-01,2019-05-03,31,2005-07-15,2020-07-10,1217780.514,2136293.864
SPLK,2012-06-12,2018-12-07,21,2012-04-19,2020-07-10,1216584.319,1378291.662
SEB,2011-11-08,2019-10-30,14,2005-07-15,2020-07-10,1213054.889,1264427.109
SHW,2008-04-24,2019-10-22,35,2005-07-15,2020-07-10,1210680.749,1889698.043
AA,2018-08-02,2019-05-09,3,2016-10-18,2020-07-10,1210122.022,1788538.298
HIG,2008-04-28,2019-11-04,37,2005-07-15,2020-07-10,1198902.35,970798.36
GPS,2008-06-10,2008-12-09,3,2005-07-15,2020-07-10,1196087.791,1380617.977
ELAN,2018-11-08,2019-08-13,3,2018-09-20,2020-07-10,1195015.236,1375445.578
DFS,2011-07-01,2011-07-01,1,2007-06-14,2020-07-10,1194071.406,1318468.188
EL,2008-02-01,2019-10-31,34,2005-07-15,2020-07-10,1179518.5,2020573.432
MKL,2009-11-04,2019-10-29,30,2005-07-15,2020-07-10,1173189.206,3000600.708
AFL,2008-05-08,2019-10-25,34,2005-07-15,2020-07-10,1172618.969,1311784.93
RCL,2008-04-24,2019-10-30,31,2005-07-15,2020-07-10,1170224.379,1513990.841
W,2015-11-12,2019-10-31,13,2014-10-02,2020-07-10,1155910.995,1234097.785
APTV,2012-04-26,2019-10-30,24,2011-11-17,2020-07-10,1152247.421,1346799.03
DHI,2008-02-07,2019-07-30,35,2005-07-15,2020-07-10,1139557.083,1722407.813
FFIV,2008-02-08,2012-08-07,13,2005-07-15,2020-07-10,1118755.006,864187.012
NBL,2010-04-29,2019-11-07,26,2005-07-15,2020-07-10,1117810.038,1239702.387
STZ,2008-07-10,2014-01-09,14,2005-07-15,2020-07-10,1105537.852,2672704.034
KEY,2008-05-06,2019-10-31,36,2005-07-15,2020-07-10,1105291.578,1708907.906
BBBY,2008-01-10,2019-10-15,33,2005-07-15,2020-07-10,1103590.712,742451.617
SWKS,2008-05-07,2019-08-07,33,2005-07-15,2020-07-10,1103527.411,1789572.973
SPGI,2008-04-30,2019-10-29,35,2005-07-15,2020-07-10,1101919.009,1696630.556
ROST,2012-12-05,2019-09-10,22,2005-07-15,2020-07-10,1100483.057,1667528.854
FSLY,2019-08-09,2019-11-08,2,2019-05-17,2020-07-10,1098080.169,289353.005
CXO,2008-05-14,2019-10-30,34,2007-08-03,2020-07-10,1097908.232,1796581.319
ANET,2014-08-07,2019-10-31,17,2014-06-06,2020-07-10,1095439.866,2000809.726
APD,2008-01-25,2019-07-25,30,2005-07-15,2020-07-10,1091943.047,1246045.474
FTV,2016-08-02,2019-10-24,11,2016-06-13,2020-07-10,1078738.933,927496.554
CAH,2011-02-08,2019-11-07,24,2005-07-15,2020-07-10,1075084.558,1628987.847
RRC,2008-04-23,2017-10-24,14,2005-07-15,2020-07-10,1073969.02,1127285.716
ULTA,2008-06-16,2019-12-05,23,2007-10-25,2020-07-10,1064447.506,2208292.158
EQIX,2008-04-30,2019-11-01,31,2005-07-15,2020-07-10,1063689.83,1694352.064
A,2008-03-07,2019-08-30,35,2005-07-15,2020-07-10,1062200.007,1298089.62
NE,2009-08-07,2019-10-31,26,2005-07-18,2020-07-10,1056604.276,302503.672
TIF,2010-12-01,2019-12-05,23,2005-07-15,2020-07-10,1056560.891,1338732.823
FEYE,2013-11-14,2019-11-01,19,2013-09-20,2020-07-10,1054513.714,554127.927
COG,2009-04-30,2019-10-25,26,2005-07-15,2020-07-10,1052184.534,1248775.476
SYY,2008-02-05,2019-11-04,25,2005-07-15,2020-07-10,1051063.951,1290551.562
NCLH,2013-05-08,2019-11-08,21,2013-01-18,2020-07-10,1037464.098,1084786.354
ORLY,2008-05-09,2019-11-06,31,2005-07-15,2020-07-10,1035646.56,1763372.022
PH,2012-11-02,2019-11-06,22,2005-07-15,2020-07-10,1035471.899,1408148.664
AEP,2008-05-01,2019-10-24,23,2005-07-15,2020-07-10,1033065.117,1565857.512
VFC,2008-05-07,2019-10-31,31,2005-07-15,2020-07-10,1027820.025,1543953.453
NTNX,2016-12-07,2019-12-05,10,2016-09-30,2020-07-10,1016847.379,1442619.345
MDB,2017-12-14,2017-12-14,1,2017-10-19,2020-07-10,1013032.47,235968.352
GRUB,2014-05-15,2019-05-10,16,2014-04-04,2020-07-10,1012404.252,1085391.786
TSN,2009-02-02,2009-08-03,3,2005-07-15,2020-07-10,1010161.839,1329717.42
FISV,2008-05-09,2019-11-07,20,2005-07-15,2020-07-10,1008116.072,1091388.46
PHM,2008-05-07,2019-10-22,27,2005-07-15,2020-07-10,1006195.154,1269213.604
DBX,2018-05-11,2019-11-08,6,2018-03-23,2020-07-10,1005648.183,1350064.071
WLL,2014-07-31,2019-11-06,17,2005-07-18,2020-07-10,1005183.902,1520062.151
PPG,2008-07-28,2019-10-18,26,2005-07-15,2020-07-10,1002901.472,1346991.325
FIS,2008-05-08,2019-11-05,30,2005-07-15,2020-07-10,988402.706,1239685.68
AON,2009-05-08,2019-10-25,31,2005-07-15,2020-07-10,985563.953,1209772.873
FANG,2012-11-15,2019-11-06,22,2012-10-12,2020-07-10,982712.032,1364194.944
WHR,2008-04-24,2014-10-28,20,2005-07-15,2020-07-10,966806.982,1365744.249
NBR,2008-10-31,2019-11-01,22,2005-07-15,2020-07-10,962994.555,677982.592
MCO,2008-05-08,2019-08-01,6,2005-07-15,2020-07-10,956345.903,921396.459
ECL,2008-05-02,2019-10-31,26,2005-07-15,2020-07-10,947821.164,1342424.663
ABC,2009-02-05,2019-08-01,32,2005-07-15,2020-07-10,946867.147,1363177.454
KLAC,2011-01-27,2011-04-28,2,2005-07-15,2020-07-10,945166.051,1175718.233
EVRG,2018-08-08,2019-11-06,5,2018-06-05,2020-07-10,944509.761,807469.899
EW,2008-05-09,2019-10-25,36,2005-07-15,2020-07-10,935457.326,1464399.191
JWN,2008-06-10,2019-12-04,35,2005-07-15,2020-07-10,929880.109,839978.758
UAA,2008-05-07,2019-11-08,31,2005-11-18,2020-07-10,925514.013,983487.822
RL,2008-08-07,2019-11-07,30,2005-07-15,2020-07-10,924173.635,928161.202
ATUS,2017-08-03,2019-11-05,8,2017-06-22,2020-07-10,921215.854,389252.452
HST,2009-04-23,2014-05-02,12,2005-07-15,2020-07-10,920200.005,1078440.709
WM,2019-07-25,2019-10-23,2,2005-07-15,2020-07-10,913907.332,1436442.082
MMC,2008-05-08,2019-10-30,26,2005-07-15,2020-07-10,913535.172,1218327.613
K,2008-05-07,2019-10-30,36,2005-07-15,2020-07-10,912333.243,1709308.624
FE,2010-08-03,2019-11-04,29,2005-07-15,2020-07-10,909908.608,1492666.21
FLR,2008-05-12,2019-10-31,35,2005-07-15,2020-07-10,905547.817,643154.992
ETFC,2008-05-09,2019-10-31,36,2005-07-15,2020-07-10,904551.289,1104951.239
MCHP,2010-11-08,2019-11-06,26,2005-07-15,2020-07-10,899491.432,1721597.115
IQV,2013-10-31,2018-07-27,14,2013-05-09,2020-07-10,893689.85,1088327.517
AAP,2008-11-12,2019-11-12,22,2005-07-15,2020-07-10,892618.51,1298516.926
ADS,2016-11-07,2019-11-06,10,2005-07-15,2020-07-10,891009.889,1075229.471
PGR,2008-05-06,2019-11-06,21,2005-07-15,2020-07-10,889935.205,1429349.806
FLT,2011-05-16,2016-11-09,11,2010-12-15,2020-07-10,886595.469,1015908.894
OMC,2008-07-24,2019-10-15,28,2005-07-15,2020-07-10,886374.9,1382966.407
COUP,2016-12-08,2019-06-04,5,2016-10-07,2020-07-10,884534.66,235781.431
NRG,2008-05-01,2019-08-07,32,2005-07-15,2020-07-10,881685.177,1400607.178
PCAR,2008-05-02,2017-08-04,17,2005-07-15,2020-07-10,872019.444,1264583.212
CAG,2009-04-01,2019-04-02,27,2005-07-15,2020-07-10,867892.297,987328.287
MNK,2019-05-07,2019-11-05,3,2013-06-17,2020-07-10,866098.233,642675.859
RH,2012-12-17,2019-12-05,20,2012-11-02,2020-07-10,864032.133,825520.872
PPL,2008-05-02,2019-11-05,37,2005-07-15,2020-07-10,861422.306,1508244.772
PE,2014-08-14,2019-11-07,16,2014-05-23,2020-07-10,855121.314,1411319.0
BURL,2013-12-12,2018-11-28,16,2013-10-02,2020-07-10,849692.745,955863.82
SRE,2016-11-02,2019-11-01,10,2005-07-15,2020-07-10,849177.493,1747319.498
LB,2014-06-06,2014-12-05,3,2005-07-15,2020-07-10,847868.9,1626517.71
TOL,2012-06-07,2019-09-05,23,2005-07-15,2020-07-10,843374.61,864813.929
AMP,2008-05-06,2019-11-12,35,2005-09-15,2020-07-10,842206.115,1135402.279
EIX,2008-05-08,2019-10-29,36,2005-07-15,2020-07-10,836356.032,1475022.979
LH,2008-04-30,2019-10-31,35,2005-07-15,2020-07-10,832436.041,903410.925
TEL,2008-02-07,2019-07-26,36,2007-06-14,2020-07-10,830206.218,1257302.486
PLAN,2018-12-10,2019-12-09,4,2018-10-12,2020-07-10,829424.8,443311.641
CTL,2011-08-09,2019-11-07,26,2005-07-15,2020-07-10,829396.937,1662147.509
