Ticker:,The earliest date of MD&A,The latest date of MD&A,Number of MD&A
ABR-PA,2009-05-11 16:53:00,2019-11-01 08:43:02,30
ABR-PB,2009-05-11 16:53:00,2019-11-01 08:43:02,30
ABR-PC,2009-05-11 16:53:00,2019-11-01 08:43:02,30
ABR,2009-05-11 16:53:00,2019-11-01 08:43:02,30
ABT,2014-05-07 16:47:00,2019-10-31 16:02:04,18
ABTI,2009-02-13 18:54:04,2019-01-24 11:55:04,27
ABTX,2015-11-20 14:50:03,2019-11-01 16:06:05,12
ABUS,2015-11-05 16:37:01,2019-11-06 12:27:04,13
ABVC,2016-02-22 18:46:01,2016-08-15 14:28:02,4
ABWN,2016-01-19 17:14:03,2016-04-19 14:09:04,2
AC,2018-08-07 18:38:04,2019-11-12 14:18:04,2
ACA,2018-11-14 16:41:01,2019-10-31 10:28:01,4
ACAM,2019-05-14 16:13:00,2019-11-14 11:04:05,3
ACAMU,2019-05-14 16:13:00,2019-11-14 11:04:05,3
ACAMW,2019-05-14 16:13:00,2019-11-14 11:04:05,3
ACAN,2016-02-16 10:34:04,2016-02-16 10:34:04,1
ACBI,2015-11-13 10:39:02,2019-11-08 11:50:00,13
ACC,2009-11-06 15:32:00,2019-11-01 13:49:01,20
ACCA,2010-07-23 12:49:05,2019-11-12 09:12:00,33
ACCO,2008-08-06 17:07:05,2019-10-30 15:16:02,26
ACEL-WT,2019-08-02 16:16:02,2019-11-01 17:10:01,2
ACEL,2019-08-02 16:16:02,2019-11-01 17:10:01,2
ACER,2010-05-13 08:35:02,2019-11-13 16:11:02,18
ACET,2018-02-02 11:02:03,2019-02-20 07:01:02,5
ACEZ,2014-08-04 14:17:05,2016-05-02 13:46:00,7
ACFC,2014-05-14 16:19:04,2018-05-10 14:12:01,13
ACFN,2015-05-15 16:43:02,2015-08-13 18:33:00,2
ACGL,2008-08-08 14:57:00,2015-11-09 14:27:04,20
ACGLO,2008-08-08 14:57:00,2015-11-09 14:27:04,20
ACGLP,2008-08-08 14:57:00,2015-11-09 14:27:04,20
ACHC,2011-11-14 17:03:01,2017-07-28 14:32:02,15
ACHV,2008-05-09 16:36:05,2012-05-03 16:18:01,7
ACI,2018-07-25 16:25:01,2019-10-16 16:47:04,5
ACIA,2016-08-11 16:28:02,2019-10-30 16:06:05,10
ACIW,2008-08-11 16:32:05,2019-11-07 10:42:01,35
ACLS,2008-08-08 16:32:03,2019-11-07 10:50:00,35
ACM,2008-02-13 08:01:01,2019-08-07 16:14:00,37
ACMB,2015-11-12 11:51:04,2016-05-23 14:27:00,2
ACMR,2017-12-08 16:03:00,2019-08-12 08:31:05,5
ACN,2009-12-18 17:16:04,2019-12-19 06:54:05,31
ACNB,2010-05-07 14:21:01,2019-11-01 09:43:02,30
ACNV,2014-11-24 17:03:03,2017-11-01 06:06:01,11
ACOR,2008-05-09 13:07:04,2019-05-07 17:09:02,23
ACRE,2012-06-01 06:01:02,2019-11-07 19:48:02,24
ACRS,2015-11-18 16:33:00,2019-11-07 17:01:03,13
ACRX,2011-05-16 16:44:03,2014-11-10 17:16:01,12
ACTG,2010-11-01 16:58:01,2019-11-12 16:31:00,30
ACTT,2019-11-08 16:58:00,2019-11-08 16:58:00,1
ACTTU,2019-11-08 16:58:00,2019-11-08 16:58:00,1
ACUR,2011-07-28 16:08:00,2019-10-01 16:16:01,17
ACY,2018-11-08 16:44:04,2018-11-08 16:44:04,1
ADAC,2009-07-15 06:36:03,2016-09-23 21:33:01,6
ADAP,2016-05-12 11:01:05,2019-11-06 11:55:01,12
ADBE,2008-04-04 09:01:01,2019-09-26 16:25:03,29
ADC,2008-05-08 09:46:03,2019-10-21 16:06:05,7
ADES,2013-08-09 12:59:02,2019-11-12 16:49:00,17
ADFI,2008-09-22 17:10:02,2017-12-15 17:06:04,24
ADGO,2009-05-20 16:58:04,2019-11-21 15:08:02,14
ADHG,2017-08-11 10:02:02,2017-08-11 10:02:02,1
ADI,2008-02-20 16:49:00,2012-08-21 16:15:01,13
ADIL,2019-11-14 06:47:02,2019-11-14 06:47:02,1
ADILW,2019-11-14 06:47:02,2019-11-14 06:47:02,1
ADM,2013-08-07 16:31:01,2019-10-31 16:02:01,17
ADMA,2009-01-14 11:49:00,2019-11-06 17:29:04,14
ADMG,2011-11-14 12:40:04,2019-05-30 19:21:05,16
ADMP,2009-11-23 19:56:04,2019-11-12 16:16:04,24
ADMS,2014-05-13 17:09:04,2019-11-07 16:02:04,17
ADMT,2010-02-16 16:34:03,2013-02-19 13:43:02,8
ADOM,2017-06-19 10:57:03,2019-10-24 18:46:05,8
ADP,2012-11-02 09:22:03,2019-11-04 15:17:01,22
ADPT,2019-08-13 16:36:04,2019-11-12 16:40:04,2
ADRO,2015-05-28 16:50:00,2019-11-07 16:12:00,15
ADS,2016-11-07 09:17:05,2019-11-06 16:56:02,10
ADSK,2011-12-06 16:44:01,2011-12-06 16:44:01,1
ADSV,2008-05-20 16:05:00,2009-05-13 15:55:04,4
ADSW,2013-11-14 15:36:04,2019-10-30 10:47:02,19
ADT,2018-05-09 17:10:02,2019-11-12 16:24:00,6
ADTN,2009-11-04 09:45:02,2018-08-03 16:00:03,24
ADVM,2014-09-11 19:27:03,2018-11-08 17:21:02,3
ADXS,2011-06-14 16:59:02,2019-09-09 16:01:02,19
ADYX,2009-10-29 15:02:01,2019-11-14 06:07:05,20
AE,2017-08-08 17:40:00,2019-11-06 16:31:01,8
AEE,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AEGG,2011-05-16 15:07:04,2011-05-16 15:07:04,1
AEGN,2008-05-07 17:00:00,2019-11-01 15:26:05,28
AEHR,2012-01-13 17:40:01,2019-10-15 06:31:04,5
AEIS,2008-08-07 17:18:02,2019-11-12 14:57:04,27
AEL,2008-03-13 16:28:04,2019-11-08 15:37:05,30
AEMD,2012-02-16 10:49:00,2019-11-01 17:16:01,10
AEO,2009-06-04 17:00:01,2019-06-06 16:16:01,11
AEP-PB,2008-05-01 11:00:05,2019-10-24 13:41:05,23
AEP,2008-05-01 11:00:05,2019-10-24 13:41:05,23
AERG,2014-05-13 15:54:00,2019-11-19 17:05:04,18
AERI,2014-05-13 16:16:01,2019-11-06 17:35:03,18
AERO,2008-02-13 16:02:00,2019-11-12 18:17:04,29
AES,2008-05-08 15:41:01,2019-11-05 17:36:03,36
AESE,2017-11-09 16:02:04,2019-11-12 17:11:03,8
AESEW,2017-11-09 16:02:04,2019-11-12 17:11:03,8
AET,2011-10-27 16:04:01,2018-10-30 06:53:01,22
AEY,2008-05-13 16:34:03,2019-08-13 09:57:01,30
AEYE,2013-11-01 13:50:02,2019-11-14 06:05:03,22
AF,2008-08-08 09:30:05,2017-08-04 08:45:03,20
AFAM,2008-05-12 16:44:05,2015-07-30 10:01:05,21
AFC,2008-05-08 06:08:05,2019-10-29 19:40:01,33
AFG,2010-08-09 10:26:00,2019-11-05 12:27:01,29
AFGB,2010-08-09 10:26:00,2019-11-05 12:27:01,29
AFGC,2010-08-09 10:26:00,2019-11-05 12:27:01,29
AFGD,2010-08-09 10:26:00,2019-11-05 12:27:01,29
AFGH,2010-08-09 10:26:00,2019-11-05 12:27:01,29
AFH,2012-05-14 07:13:01,2018-11-05 19:18:01,23
AFI,2016-05-09 07:30:02,2019-11-05 08:01:01,12
AFIN,2013-05-13 20:17:04,2019-11-07 08:18:01,21
AFINP,2013-05-13 20:17:04,2019-11-07 08:18:01,21
AFL,2008-05-08 16:57:01,2019-10-25 12:32:01,34
AFOM,2017-02-08 06:03:04,2019-08-14 15:50:04,9
AFSI,2010-11-09 16:12:04,2018-11-09 16:16:02,23
AFTM,2019-02-14 13:55:04,2019-11-14 16:48:05,2
AGBA,2019-11-14 16:38:00,2019-11-14 16:38:00,1
AGBAR,2019-11-14 16:38:00,2019-11-14 16:38:00,1
AGBAU,2019-11-14 16:38:00,2019-11-14 16:38:00,1
AGBAW,2019-11-14 16:38:00,2019-11-14 16:38:00,1
AGCO,2008-05-09 09:03:03,2019-11-08 12:07:04,37
AGEN,2008-05-09 16:27:02,2012-11-07 13:08:00,7
AGFS,2014-05-15 16:34:00,2019-11-07 17:16:04,17
AGGX,2009-05-20 17:22:00,2009-05-20 17:22:00,1
AGHC,2011-05-12 16:26:00,2017-07-28 14:07:01,5
AGHI,2016-11-18 12:35:04,2018-11-19 16:56:01,7
AGIO,2017-08-08 13:47:02,2019-10-31 09:14:05,8
AGM-A,2012-08-09 16:52:03,2019-11-06 08:55:00,11
AGM-PC,2012-08-09 16:52:03,2019-11-06 08:55:00,11
AGM-PD,2012-08-09 16:52:03,2019-11-06 08:55:00,11
AGM-PE,2012-08-09 16:52:03,2019-11-06 08:55:00,11
AGM,2012-08-09 16:52:03,2019-11-06 08:55:00,11
AGNC,2008-08-14 11:42:03,2019-11-05 16:06:05,35
AGNCM,2008-08-14 11:42:03,2019-11-05 16:06:05,35
AGNCN,2008-08-14 11:42:03,2019-11-05 16:06:05,35
AGNCO,2008-08-14 11:42:03,2019-11-05 16:06:05,35
AGNCP,2008-08-14 11:42:03,2019-11-05 16:06:05,35
AGO,2008-05-09 15:28:05,2019-11-08 08:50:05,38
AGQ,2012-05-10 16:42:01,2019-11-08 11:12:04,7
AGR,2015-12-16 09:55:01,2019-10-31 16:08:04,5
AGRX,2014-08-14 16:15:02,2019-10-28 07:32:04,17
AGS,2014-05-15 16:15:00,2019-11-07 16:21:04,18
AGTC,2014-05-14 16:33:02,2018-11-09 16:28:00,7
AGTK,2009-07-16 17:13:05,2019-09-18 16:51:05,7
AGX,2009-06-08 13:15:02,2019-12-10 16:46:03,26
AGYS,2008-02-07 14:29:04,2019-10-29 21:08:03,37
AHC,2008-05-15 17:27:05,2019-07-29 16:50:04,26
AHCO,2018-05-14 21:01:00,2019-11-05 17:20:05,6
AHCOW,2018-05-14 21:01:00,2019-11-05 17:20:05,6
AHCP,2009-05-20 12:02:02,2014-05-20 15:20:03,15
AHGP,2008-05-12 10:45:03,2018-05-07 15:18:01,28
AHH,2016-05-04 06:08:04,2018-05-02 06:08:02,3
AHL-PC,2008-05-08 17:14:01,2019-05-08 14:44:05,24
AHL-PD,2008-05-08 17:14:01,2019-05-08 14:44:05,24
AHL-PE,2008-05-08 17:14:01,2019-05-08 14:44:05,24
AHNR,2010-05-21 15:33:03,2013-10-18 14:12:02,8
AHPI,2008-05-12 16:43:01,2019-05-15 15:01:04,13
AHT,2008-11-07 15:51:04,2019-11-06 16:23:05,30
AI,2014-05-02 17:14:00,2019-11-08 12:45:00,17
AIG-PA,2008-05-08 16:10:00,2019-11-01 10:14:05,36
AIG-WT,2008-05-08 16:10:00,2019-11-01 10:14:05,36
AIG,2008-05-08 16:10:00,2019-11-01 10:14:05,36
AIKI,2008-05-15 17:12:01,2019-05-15 17:05:02,30
AIKO,2017-03-14 14:22:03,2019-08-19 16:27:03,9
AILIH,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILIM,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILIN,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILIO,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILIP,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILLI,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILLL,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILLM,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILLN,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILLO,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AILNP,2013-05-10 16:39:01,2019-11-08 15:03:00,21
AIM,2013-05-08 15:18:04,2015-11-13 17:41:02,9
AIMC,2008-05-07 17:17:02,2019-05-03 16:06:04,19
AIMT,2015-08-31 16:29:01,2018-11-08 16:20:00,9
AIN,2009-05-08 15:10:04,2019-05-01 17:32:01,30
AINV,2010-08-04 16:10:02,2019-11-05 16:00:03,28
AIQ,2008-05-09 17:03:04,2017-08-03 17:02:03,10
AIR,2008-01-08 11:04:03,2019-12-19 18:38:01,36
AIRG,2019-08-08 17:24:05,2019-11-07 17:01:04,2
AIRI,2013-05-10 13:59:02,2019-11-07 14:28:00,6
AIT,2008-02-01 09:14:04,2019-10-31 13:19:01,34
AITA,2012-03-26 16:55:00,2015-05-15 16:28:02,11
AIV,2008-05-02 14:41:00,2018-08-06 20:20:04,11
AIVI,2010-02-18 09:26:05,2010-02-18 09:26:05,1
AIVN,2011-01-18 15:46:04,2018-03-29 11:37:01,20
AIZ,2008-05-12 17:04:05,2019-11-07 16:05:02,36
AJG,2008-04-28 21:53:04,2016-10-28 13:58:02,27
AJRD,2008-03-26 13:46:01,2019-10-29 17:01:04,34
AJX,2015-05-13 17:15:04,2019-08-06 18:27:04,14
AKAM,2008-05-12 16:01:02,2019-11-08 09:06:02,36
AKAOQ,2015-05-11 16:23:05,2016-11-07 16:02:04,6
AKBA,2014-05-12 07:05:01,2019-11-12 16:31:05,18
AKER,2014-05-14 07:01:02,2019-11-14 17:15:04,20
AKOM,2016-07-14 12:04:00,2016-11-02 11:30:05,2
AKR,2008-05-08 12:38:04,2019-04-25 17:32:00,27
AKRO,2019-08-12 07:17:01,2019-11-12 07:34:03,2
AKRX,2008-08-08 17:10:00,2019-10-31 12:26:01,25
AKRXQ,2008-08-08 17:10:00,2019-10-31 12:26:01,25
AKS,2011-08-08 16:52:02,2019-10-30 16:07:03,26
AKTS,2015-08-14 16:49:00,2015-11-12 16:36:01,2
AKTX,2015-05-12 13:24:01,2016-05-12 16:08:00,4
AL-PA,2011-05-16 16:15:01,2019-11-07 16:12:01,26
AL,2011-05-16 16:15:01,2019-11-07 16:12:01,26
ALAC,2019-11-13 16:04:02,2019-11-13 16:04:02,1
ALBO,2008-02-14 16:18:01,2019-11-06 09:06:03,31
ALCO,2008-05-09 14:47:00,2019-08-06 16:45:01,31
ALDA,2011-05-16 13:35:01,2018-08-13 14:59:03,10
ALDS,2019-02-19 17:05:04,2019-11-13 17:27:02,2
ALDW,2014-08-08 16:17:03,2017-11-09 16:57:04,2
ALE,2008-10-31 08:04:03,2019-11-05 17:48:01,28
ALEC,2019-05-13 16:19:02,2019-11-12 16:13:04,3
ALEX,2013-08-09 08:19:02,2019-10-31 20:14:02,20
ALG,2011-08-05 12:29:04,2018-05-03 16:16:05,21
ALGN,2009-05-07 15:56:05,2019-10-31 16:06:03,27
ALGR,2019-11-14 16:01:00,2019-11-14 16:01:00,1
ALGRR,2019-11-14 16:01:00,2019-11-14 16:01:00,1
ALGRU,2019-11-14 16:01:00,2019-11-14 16:01:00,1
ALGRW,2019-11-14 16:01:00,2019-11-14 16:01:00,1
ALGT,2008-05-09 17:04:04,2019-10-31 14:54:02,36
ALIM,2010-11-09 17:16:03,2019-11-05 16:39:03,24
ALJJ,2016-05-16 16:47:00,2019-08-12 16:52:02,11
ALK,2008-05-07 11:44:05,2019-11-07 16:02:01,35
ALKM,2012-06-19 17:22:04,2016-02-12 10:42:03,14
ALKS,2011-11-03 11:14:02,2018-10-23 09:24:03,22
ALL-PB,2008-11-05 17:38:04,2019-10-29 19:21:05,33
ALL-PG,2008-11-05 17:38:04,2019-10-29 19:21:05,33
ALL-PH,2008-11-05 17:38:04,2019-10-29 19:21:05,33
ALL-PI,2008-11-05 17:38:04,2019-10-29 19:21:05,33
ALL,2008-11-05 17:38:04,2019-10-29 19:21:05,33
ALLE,2014-04-30 17:04:00,2019-10-24 06:28:02,18
ALLK,2018-08-29 16:21:03,2019-05-08 08:07:02,3
ALLO,2018-11-21 16:31:03,2019-11-05 16:02:04,4
ALLY-PA,2008-05-07 17:32:04,2019-11-05 09:09:04,32
ALLY,2008-05-07 17:32:04,2019-11-05 09:09:04,32
ALNA,2018-11-07 08:03:01,2018-11-07 08:03:01,1
ALNY,2008-05-09 09:00:05,2019-10-31 16:03:04,34
ALOT,2008-06-17 15:43:05,2014-12-10 15:52:02,19
ALP-PQ,2008-05-07 15:34:01,2019-10-29 19:30:03,36
ALPC,2018-06-20 16:28:02,2019-11-12 16:07:03,5
ALPE,2017-01-17 17:24:02,2019-11-14 16:05:01,13
ALPN,2016-08-02 16:39:03,2019-11-14 16:03:03,8
ALPVN,2008-05-07 15:34:01,2019-10-29 19:30:03,36
ALR,2008-05-08 18:17:05,2017-08-03 06:54:03,21
ALRM,2015-08-14 15:08:04,2019-11-05 17:20:04,14
ALRN,2017-11-09 16:15:02,2019-05-08 16:55:00,3
ALRS,2019-11-07 16:54:04,2019-11-07 16:54:04,1
ALRT,2008-08-19 16:39:05,2009-05-15 17:08:05,3
ALSK,2009-11-06 16:31:01,2019-11-08 12:50:00,26
ALSN,2017-08-01 16:08:05,2017-08-01 16:08:05,1
ALT,2008-05-15 17:22:00,2018-11-13 17:00:01,19
ALTD,2016-06-20 13:09:01,2019-11-12 18:49:00,10
ALTG-WT,2019-05-21 13:21:00,2019-11-12 14:15:01,2
ALTG,2019-05-21 13:21:00,2019-11-12 14:15:01,2
ALTM,2018-05-11 14:46:05,2019-10-31 16:23:01,6
ALTR,2017-11-30 18:00:00,2017-11-30 18:00:00,1
ALV,2010-10-26 09:09:04,2019-04-26 10:51:02,23
ALX,2010-05-03 08:44:00,2017-05-01 08:31:03,22
ALYE,2009-11-13 13:52:04,2010-08-04 13:27:03,2
AM,2017-06-02 15:42:02,2019-10-29 20:06:04,9
AMAG,2008-05-07 15:34:02,2019-11-01 17:15:03,33
AMAR,2008-11-12 19:17:00,2008-11-12 19:17:00,1
AMAT,2012-02-27 16:48:04,2019-08-22 15:55:02,24
AMAZ,2012-08-14 16:49:01,2018-12-17 16:06:04,11
AMBA,2012-12-17 14:24:01,2019-06-07 13:01:05,18
AMBC-WT,2008-05-12 17:11:01,2018-11-07 16:36:05,19
AMBC,2008-05-12 17:11:01,2018-11-07 16:36:05,19
AMC,2014-05-07 11:06:00,2019-11-07 08:20:01,18
AMCR,2019-05-09 16:54:05,2019-11-07 17:11:03,2
AMCT,2015-06-26 19:30:00,2019-11-14 16:50:01,15
AMCX,2011-08-11 16:20:03,2019-07-31 16:12:00,25
AMD,2008-08-06 17:15:02,2008-08-06 17:15:02,1
AME,2008-05-02 16:37:00,2019-05-02 14:14:03,23
AMED,2008-04-30 16:17:05,2019-10-30 08:24:03,20
AMEH,2010-12-10 16:35:00,2019-11-08 16:16:04,21
AMG,2008-05-07 10:54:00,2013-05-07 17:27:01,16
AMGN,2011-05-10 13:12:01,2019-10-29 19:31:03,23
AMH,2014-05-14 12:07:03,2019-11-08 14:08:05,18
AMIH,2008-05-15 16:01:00,2019-11-20 18:51:04,19
AMJ,2008-05-12 16:44:03,2019-11-04 16:24:01,37
AMKR,2008-05-05 16:25:00,2019-10-31 16:42:03,34
AMMJ,2013-06-25 13:05:01,2014-09-05 16:31:00,6
AMMX,2019-07-09 17:30:01,2019-07-18 17:18:01,2
AMN,2013-05-03 14:41:05,2019-11-04 17:04:01,21
AMNB,2008-08-08 17:16:03,2019-11-12 14:42:00,26
AMNL,2013-05-09 17:27:03,2019-11-14 16:58:03,15
AMOT,2008-05-09 14:33:04,2019-10-31 16:06:00,34
AMP,2008-05-06 12:16:05,2019-11-12 12:27:03,35
AMPE,2010-05-17 16:49:03,2019-11-07 16:32:02,23
AMPH,2014-11-13 16:19:03,2015-08-13 16:00:04,2
AMPO,2013-03-27 20:45:02,2019-12-26 15:17:03,3
AMPY,2012-06-01 11:30:04,2019-11-06 16:07:01,24
AMRB,2009-05-12 21:28:00,2019-11-07 14:54:00,31
AMRC,2010-09-07 16:50:04,2019-11-05 16:31:00,30
AMRH,2013-11-06 13:12:04,2014-11-14 15:55:01,6
AMRI,2008-05-09 17:10:02,2017-08-09 14:33:03,17
AMRK,2014-03-27 14:32:00,2019-11-08 19:47:01,18
AMRN,2011-05-10 15:11:03,2011-11-08 06:04:03,3
AMRQQ,2017-05-10 17:01:01,2019-11-12 07:40:03,9
AMRS,2011-08-11 14:43:05,2019-11-12 06:19:00,25
AMRWQ,2017-05-10 17:01:01,2019-11-12 07:40:03,9
AMRWW,2017-05-10 17:01:01,2019-11-12 07:40:03,9
AMRX,2018-05-15 16:43:04,2019-11-06 20:09:04,6
AMS,2008-11-13 16:46:01,2009-11-16 16:11:02,3
AMSC,2008-08-07 17:24:02,2019-11-05 16:20:05,35
AMSF,2016-07-29 16:03:00,2019-05-03 16:01:03,9
AMSU,2008-11-18 16:58:04,2019-11-14 13:52:02,14
AMT,2009-08-06 16:06:02,2019-10-31 16:12:03,16
AMTB,2018-09-21 16:05:01,2019-11-12 17:29:00,5
AMTBB,2018-09-21 16:05:01,2019-11-12 17:29:00,5
AMTD,2008-05-08 17:49:05,2019-08-01 16:11:05,32
AMTX,2008-08-14 16:27:04,2019-08-08 08:47:00,15
AMTY,2011-11-21 17:10:00,2019-11-08 09:31:03,28
AMWD,2008-02-29 09:37:01,2019-11-26 16:26:02,25
AMZN,2008-04-24 17:33:04,2014-10-23 19:33:03,9
AN,2008-04-24 17:53:03,2019-10-29 19:29:02,34
ANAB,2017-05-11 19:26:00,2019-11-08 08:08:02,9
ANAT,2009-08-07 17:06:02,2019-11-05 14:57:05,30
ANCX,2008-05-12 16:54:05,2016-11-09 16:29:02,13
ANDA,2019-05-14 17:28:04,2019-11-14 17:30:03,3
ANDE,2008-05-09 07:54:00,2019-11-08 12:34:01,36
ANET,2014-08-07 20:40:00,2019-10-31 19:15:02,17
ANF,2008-12-05 16:01:01,2019-12-11 16:29:04,4
ANFC,2017-05-04 16:06:00,2019-11-14 16:25:01,9
ANGI,2017-11-09 16:10:05,2019-11-07 16:28:00,7
ANGO,2009-04-09 15:08:01,2015-01-09 17:10:00,2
ANH,2008-05-09 16:19:03,2019-11-06 16:07:01,12
ANIP,2008-11-10 16:34:01,2019-11-06 08:31:04,30
ANIX,2012-03-16 12:23:03,2018-09-07 16:16:01,6
ANSS,2012-11-01 11:27:04,2019-11-07 10:35:00,22
ANSU,2008-11-18 16:57:01,2019-11-14 13:51:02,17
ANTH,2010-08-12 15:51:01,2018-05-15 15:58:02,15
ANTM,2009-04-22 16:25:05,2011-10-26 13:12:03,7
ANVV,2018-05-21 16:05:04,2019-12-30 16:58:05,6
ANY,2018-05-10 17:03:04,2019-11-14 17:07:02,6
AOBC,2008-03-10 11:54:01,2019-03-07 16:16:03,33
AON,2009-05-08 17:14:03,2019-10-25 16:34:04,31
AOS,2008-05-02 15:38:02,2019-11-06 14:51:00,26
AOSL,2011-11-08 15:05:02,2019-11-12 14:39:03,25
AOXY,2014-05-14 09:49:02,2019-11-12 07:43:00,4
AP,2011-05-10 16:26:03,2017-11-09 11:05:00,21
APA,2008-05-12 12:40:02,2018-11-01 16:17:01,7
APAM,2013-05-09 16:05:04,2019-10-30 16:07:03,21
APD,2008-01-25 08:59:02,2019-07-25 13:01:03,30
APDN,2012-05-15 16:17:05,2019-08-13 16:02:03,15
APEI,2008-05-09 15:30:03,2019-11-12 16:06:00,22
APEN,2008-05-12 15:39:05,2018-05-03 16:06:02,27
APEX,2008-06-12 06:02:01,2017-12-07 17:21:03,26
APGI,2011-02-14 18:57:02,2017-08-28 09:32:04,23
APHD,2011-04-19 15:40:01,2019-10-15 15:29:02,20
APHDD,2011-04-19 15:40:01,2019-10-15 15:29:02,20
APHE,2015-05-19 17:34:04,2015-05-19 17:34:04,1
APLE,2009-05-05 11:08:02,2019-11-04 16:39:00,33
APLS,2017-12-20 08:47:05,2019-05-07 17:27:00,5
APLT,2019-06-21 07:48:01,2019-11-13 16:03:01,3
APO-PA,2011-05-12 16:01:01,2019-11-05 16:12:02,25
APO-PB,2011-05-12 16:01:01,2019-11-05 16:12:02,25
APO,2011-05-12 16:01:01,2019-11-05 16:12:02,25
APOG,2009-10-08 10:21:02,2012-01-05 14:54:05,3
APPF,2015-08-06 16:57:00,2019-10-28 16:06:02,14
APPS,2009-02-20 16:10:02,2014-02-14 17:12:02,7
APRCP,2008-05-07 15:34:01,2019-10-29 19:30:03,36
APRDM,2008-05-07 15:34:01,2019-10-29 19:30:03,36
APRDN,2008-05-07 15:34:01,2019-10-29 19:30:03,36
APRDO,2008-05-07 15:34:01,2019-10-29 19:30:03,36
APRDP,2008-05-07 15:34:01,2019-10-29 19:30:03,36
APRE,2019-11-14 16:25:03,2019-11-14 16:25:03,1
APRN,2017-08-10 17:23:03,2019-10-31 07:21:02,8
APT,2009-08-06 13:49:03,2011-05-06 14:33:02,6
APTO,2019-05-07 16:47:01,2019-11-05 17:01:01,3
APTS,2013-05-15 13:45:03,2019-11-04 16:51:00,21
APTV,2012-04-26 16:46:04,2019-10-30 16:13:04,24
APTX,2018-08-14 16:31:05,2019-11-12 16:35:01,5
APVO,2016-08-25 17:25:00,2019-11-07 12:53:02,12
APXT,2019-11-08 21:16:02,2019-11-08 21:16:02,1
APXTU,2019-11-08 21:16:02,2019-11-08 21:16:02,1
APXTW,2019-11-08 21:16:02,2019-11-08 21:16:02,1
APY,2018-06-04 17:22:01,2019-11-19 15:03:02,6
APYP,2014-11-18 16:47:05,2016-05-19 16:06:05,6
APYX,2008-05-14 11:34:03,2011-05-12 06:52:01,10
AQB,2017-05-09 16:31:01,2019-11-05 16:06:03,9
AQMS,2015-11-10 16:28:05,2019-11-12 16:01:01,12
AQSP,2009-05-15 17:17:04,2019-11-15 15:58:03,15
AQUA,2018-02-07 16:54:00,2019-08-06 17:05:00,6
